Email ID,Asunto,Cuerpo del mensaje,Etiqueta
736,Reunión importante,La reunión será a las 10 AM el lunes.,ham
7226,Gana dinero fácil,La reunión será a las 10 AM el lunes.,spam
9857,Confirmación de pago,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,spam
4668,Descuentos exclusivos,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,spam
1806,"Hola, ¿cómo estás?",La reunión será a las 10 AM el lunes.,ham
396,Descuentos exclusivos,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,ham
6529,"Hola, ¿cómo estás?",Confirmación de pago recibido. Gracias por tu compra.,ham
3284,"Hola, ¿cómo estás?",Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
3355,Recordatorio de cita,Recuerda que tienes una cita a las 3 PM mañana.,spam
30,Gana dinero fácil,Confirmación de pago recibido. Gracias por tu compra.,ham
8406,Descuentos exclusivos,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
269,Gana dinero fácil,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
7877,Recordatorio de cita,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
8901,Recordatorio de cita,Confirmación de pago recibido. Gracias por tu compra.,ham
4272,"Hola, ¿cómo estás?",Confirmación de pago recibido. Gracias por tu compra.,ham
4640,Gana dinero fácil,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
5763,Oferta limitada,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
8092,Descuentos exclusivos,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",spam
3718,"Hola, ¿cómo estás?",Confirmación de pago recibido. Gracias por tu compra.,ham
3310,Descuentos exclusivos,La reunión será a las 10 AM el lunes.,ham
674,Oferta limitada,La reunión será a las 10 AM el lunes.,ham
8182,"Hola, ¿cómo estás?",Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,spam
